Transaction_ID,Timestamp,Customer_ID,Amount,Merchant_Category,Distance_from_Home,Device_Type,IP_Risk_Score,Avg_Spending_Habit,Is_Weekend,Is_Night_Transaction,Is_Fraud,Hour,DayOfWeek,Anomaly,Spending_Deviation,Risk_Score,Risk_Level
TRX-000014,2025-02-19 22:58:00,CUST-1787,26.65,Online_Services,0.0123,iOS,0.44,83.41,0,0,0,22,2,0,0.672432176282431,33.75,Normal
TRX-000015,2025-03-13 02:06:00,CUST-1928,14.21,Food_Dining,0.0123,iOS,0.57,101.92,0,1,0,2,3,0,0.8522153128643607,42.78,Suspicious
TRX-000016,2025-03-13 20:31:00,CUST-1827,26.51,Online_Services,0.0123,Android,0.91,68.59,0,0,0,20,3,0,0.6046845811179766,30.51,Normal
TRX-000017,2025-01-13 04:32:00,CUST-1374,57.22,Online_Services,0.0123,iOS,0.27,104.03,0,1,0,4,0,0,0.4456821860420832,22.37,Normal
TRX-000018,2025-01-08 01:37:00,CUST-1740,15.81,Transport,0.0123,Web_Browser,0.07,54.6,0,1,0,1,2,1,0.6976618705035971,54.9,Suspicious
TRX-000019,2025-02-07 04:40:00,CUST-1566,25.66,Groceries,0.0123,Android,0.63,110.78,0,1,0,4,4,0,0.7614957953122204,38.26,Normal
TRX-000020,2025-02-13 23:13:00,CUST-1420,15.05,Transport,0.0123,iOS,0.06,113.34,0,0,0,23,3,0,0.8596291761413329,43.0,Suspicious
TRX-000021,2025-02-06 14:21:00,CUST-1373,9.46,Transport,0.0123,Android,0.53,110.41,0,0,0,14,3,0,0.9061125572210752,45.46,Suspicious
TRX-000022,2025-02-05 12:41:00,CUST-1431,31.34,Online_Services,0.0123,Android,0.6,142.82,0,0,0,12,2,0,0.7751355861493533,38.94,Normal
TRX-000023,2025-01-21 20:47:00,CUST-1206,32.58,Groceries,0.0123,Android,0.35,29.49,0,0,0,20,1,0,0.10134470318137094,5.17,Normal
TRX-000024,2025-01-18 22:24:00,CUST-1399,17.52,Transport,0.0123,Android,0.43,60.14,1,0,0,22,5,0,0.6970886490022898,34.98,Normal
TRX-000025,2025-01-11 14:44:00,CUST-1010,31.88,Food_Dining,0.0123,iOS,0.06,120.29,1,0,0,14,5,0,0.7289141726440762,36.46,Normal
TRX-000026,2025-01-10 20:04:00,CUST-1711,61.53,Online_Services,0.0123,iOS,0.86,82.69,0,0,0,20,4,0,0.2528378539849444,12.9,Normal
TRX-000027,2025-02-20 12:57:00,CUST-1803,13.95,Food_Dining,0.0123,iOS,0.65,98.81,0,0,0,12,3,0,0.8502154092776275,42.71,Suspicious
TRX-000028,2025-01-16 05:39:00,CUST-1699,38.24,Online_Services,0.0123,iOS,0.84,126.59,0,0,0,5,3,0,0.6924523865506701,34.87,Normal
TRX-000029,2025-03-30 02:49:00,CUST-1257,45.13,Online_Services,0.0123,Android,0.05,112.92,1,1,0,2,6,1,0.595066713483146,49.77,Suspicious
TRX-000030,2025-01-17 09:19:00,CUST-1779,26.37,Food_Dining,0.0123,iOS,0.02,78.77,0,0,0,9,4,0,0.656888554594459,32.85,Normal
TRX-000031,2025-03-24 19:29:00,CUST-1638,127.25,Online_Services,0.0123,iOS,0.32,78.32,0,0,0,19,0,0,0.6168683812405448,30.94,Normal
TRX-000032,2025-03-15 09:55:00,CUST-1849,163.52,Groceries,0.0123,Android,0.5,129.78,1,0,0,9,5,0,0.2579905184278942,13.05,Normal
TRX-000033,2025-02-18 23:48:00,CUST-1377,24.14,Groceries,0.0123,iOS,0.19,85.07,0,0,0,23,1,0,0.7079121645172534,35.45,Normal
TRX-000034,2025-01-06 03:13:00,CUST-1902,48.7,Groceries,0.0123,iOS,0.7,122.58,0,1,0,3,0,0,0.5978313642984301,30.1,Normal
TRX-000035,2025-01-09 18:36:00,CUST-1916,56.11,Food_Dining,4.8088,iOS,0.2,111.22,0,0,0,18,3,0,0.491088932454108,24.61,Normal
TRX-000036,2025-01-21 09:33:00,CUST-1741,10.63,Food_Dining,0.0123,Web_Browser,0.55,109.93,0,0,0,9,1,0,0.8951591093482377,44.92,Suspicious
TRX-000037,2025-02-11 22:44:00,CUST-1696,24.29,Food_Dining,0.0123,Web_Browser,0.27,124.69,0,0,0,22,1,0,0.7987906754713979,40.02,Suspicious
TRX-000038,2025-02-23 22:18:00,CUST-1380,15.9,Transport,0.0123,iOS,0.41,105.32,1,0,0,22,6,0,0.84104589917231,42.18,Suspicious
TRX-000039,2025-03-28 01:55:00,CUST-1609,827.71,Electronics,0.0123,iOS,0.57,71.33,0,1,1,1,4,0,10.457348264897,50.17,Suspicious
TRX-000040,2025-01-30 15:24:00,CUST-1296,53.37,Food_Dining,0.0123,Android,0.27,62.35,0,0,0,15,3,0,0.1417521704814523,7.17,Normal
TRX-000041,2025-03-20 04:49:00,CUST-1257,66.67,Groceries,0.0123,Android,0.97,55.95,0,1,1,4,3,0,0.18823529411764703,9.7,Normal
TRX-000042,2025-03-20 14:51:00,CUST-1490,88.85,Groceries,0.0123,iOS,0.07,100.39,0,0,0,14,3,0,0.11381793076240267,5.71,Normal
TRX-000043,2025-01-03 03:41:00,CUST-1694,411.48,Electronics,0.0123,Android,0.1,158.77,0,1,0,3,4,1,1.5817112098641797,70.03,High Risk
TRX-000044,2025-03-20 15:15:00,CUST-1435,44.33,Groceries,0.0123,iOS,0.88,123.19,0,0,0,15,3,0,0.6349947660842258,32.01,Normal
TRX-000045,2025-01-05 11:50:00,CUST-1132,19.61,Food_Dining,0.0123,Android,0.61,63.79,1,0,0,11,6,0,0.6818953542213305,34.28,Normal
TRX-000046,2025-02-13 23:45:00,CUST-1669,30.05,Groceries,0.0123,iOS,0.53,96.96,0,0,0,23,3,0,0.6830338913842384,34.31,Normal
TRX-000047,2025-01-12 02:30:00,CUST-1511,1005.79,Electronics,0.0123,iOS,0.62,108.12,1,1,1,2,6,1,8.226447947214076,70.19,High Risk
TRX-000048,2025-01-15 13:12:00,CUST-1307,30.08,Food_Dining,0.0123,iOS,0.58,108.08,0,0,0,13,2,0,0.7150715071507151,35.93,Normal
TRX-000049,2025-02-01 05:56:00,CUST-1873,87.11,Groceries,0.0123,iOS,0.59,64.98,1,0,0,5,5,0,0.33540466808123665,16.95,Normal
TRX-000050,2025-03-26 22:46:00,CUST-1284,17.01,Transport,0.0123,Android,0.8,128.23,0,0,0,22,2,0,0.8606360752147334,43.27,Suspicious
TRX-000051,2025-01-13 15:51:00,CUST-1640,59.22,Groceries,0.0123,iOS,0.74,119.29,0,0,0,15,0,0,0.49937650677529305,25.19,Normal
TRX-000052,2025-02-10 14:55:00,CUST-1988,29.35,Groceries,0.0123,Web_Browser,0.64,113.78,0,0,0,14,0,0,0.7355811116919324,36.97,Normal
TRX-000053,2025-01-19 22:19:00,CUST-1168,20.45,Transport,0.0123,iOS,0.71,75.59,1,0,0,22,6,0,0.7199373286329808,36.21,Normal
TRX-000054,2025-03-11 11:14:00,CUST-1537,12.74,Transport,0.0123,Android,0.29,39.66,0,0,0,11,1,0,0.6620757501229709,33.19,Normal
TRX-000055,2025-02-08 01:27:00,CUST-1805,46.23,Groceries,0.0123,Android,0.51,69.91,1,1,0,1,5,0,0.33394443660978707,16.85,Normal
TRX-000056,2025-02-25 21:34:00,CUST-1907,69.88,Groceries,0.0123,Android,0.98,172.33,0,0,0,21,1,0,0.5910690590203659,29.85,Normal
TRX-000057,2025-01-31 10:25:00,CUST-1828,45.89,Food_Dining,0.0123,iOS,0.13,153.66,0,0,0,10,4,0,0.6968188283977758,34.88,Normal
TRX-000058,2025-02-17 16:38:00,CUST-1003,310.54,Electronics,0.0123,Android,0.95,114.14,0,0,0,16,0,0,1.7057495223206534,50.28,Suspicious
TRX-000059,2025-01-07 15:47:00,CUST-1786,33.48,Food_Dining,0.0123,iOS,0.47,87.43,0,0,0,15,1,0,0.610087074522221,30.65,Normal
TRX-000060,2025-01-26 05:20:00,CUST-1959,68.65,Groceries,0.0123,iOS,0.14,79.44,1,0,0,5,6,0,0.13413724515166575,6.75,Normal
TRX-000061,2025-01-25 04:55:00,CUST-1372,39.93,Groceries,0.0123,Android,0.88,106.08,1,1,1,4,5,0,0.6177624206200972,31.15,Normal
TRX-000062,2025-03-15 17:45:00,CUST-1484,14.14,Food_Dining,0.0123,iOS,0.91,118.0,1,0,0,17,5,0,0.8727731092436974,43.91,Suspicious
TRX-000063,2025-02-17 19:06:00,CUST-1789,50.94,Groceries,0.0123,iOS,0.72,133.77,0,0,0,19,0,0,0.6146026563775321,30.95,Normal
TRX-000064,2025-02-07 03:20:00,CUST-1662,16.06,Food_Dining,0.0123,Android,0.88,82.52,0,1,1,3,4,0,0.7957375478927202,40.05,Suspicious
TRX-000065,2025-02-18 12:49:00,CUST-1109,13.29,Food_Dining,0.0123,Web_Browser,0.36,76.63,0,0,0,12,1,0,0.8159216797629782,40.9,Suspicious
TRX-000066,2025-01-16 20:51:00,CUST-1319,52.53,Groceries,0.0123,Android,0.84,62.86,0,0,0,20,3,0,0.16176010021922954,8.34,Normal
TRX-000067,2025-02-21 05:19:00,CUST-1206,102.47,Groceries,0.0123,Android,0.29,116.42,0,0,0,5,4,0,0.11880429228410835,6.03,Normal
TRX-000068,2025-01-09 05:24:00,CUST-1876,6.48,Transport,0.0123,Android,0.99,72.33,0,0,0,5,3,0,0.8979953634256101,45.2,Suspicious
TRX-000069,2025-03-02 04:46:00,CUST-1613,21.55,Food_Dining,0.0123,Android,0.56,67.98,1,1,0,4,6,0,0.67309365033343,33.82,Normal
TRX-000070,2025-03-04 03:38:00,CUST-1986,42.9,Food_Dining,0.0123,iOS,0.07,103.35,0,1,0,3,1,0,0.5793004312410158,28.99,Normal
TRX-000071,2025-02-23 09:59:00,CUST-1401,12.08,Transport,0.0123,Android,0.82,106.11,1,0,0,9,6,0,0.8778825506488657,44.14,Suspicious
TRX-000072,2025-03-08 18:11:00,CUST-1482,61.89,Groceries,0.0123,iOS,0.8,75.75,1,0,0,18,5,0,0.18058631921824103,9.27,Normal
TRX-000073,2025-03-01 18:33:00,CUST-1665,57.58,Online_Services,0.0123,iOS,0.27,116.51,1,0,0,18,5,0,0.501489234958727,25.16,Normal
TRX-000074,2025-03-05 09:55:00,CUST-1196,113.11,Online_Services,0.0123,Android,0.1,139.22,0,0,0,9,2,0,0.18620738838967338,9.34,Normal
TRX-000075,2025-02-28 02:55:00,CUST-1163,870.69,Electronics,4.8088,iOS,0.12,90.38,0,1,1,2,4,1,8.539177062814622,70.04,High Risk
TRX-000076,2025-03-09 05:31:00,CUST-1329,55.56,Food_Dining,0.0123,iOS,0.4,108.85,1,0,0,5,6,0,0.485116067364588,24.38,Normal
TRX-000077,2025-02-15 21:34:00,CUST-1792,27.16,Food_Dining,0.0123,iOS,0.56,111.92,1,0,0,21,5,0,0.7506199078993978,37.7,Normal
TRX-000078,2025-03-05 03:28:00,CUST-1402,114.98,Online_Services,0.0123,iOS,0.69,99.79,0,1,0,3,2,0,0.15070939577339018,7.74,Normal
TRX-000079,2025-02-20 05:22:00,CUST-1302,28.15,Food_Dining,0.0123,Android,0.1,94.14,0,0,0,5,3,0,0.6936094177002313,34.71,Normal
TRX-000080,2025-02-03 18:19:00,CUST-1928,33.59,Food_Dining,0.0123,Android,0.91,60.48,0,0,0,18,0,0,0.43737800910865315,22.14,Normal
TRX-000081,2025-01-30 22:11:00,CUST-1440,48.28,Groceries,0.0123,iOS,0.53,43.41,0,0,0,22,3,0,0.1096599864895295,5.64,Normal
TRX-000082,2025-03-21 02:46:00,CUST-1903,17.26,Food_Dining,0.0123,iOS,0.99,85.14,0,1,1,2,4,0,0.7880195031344323,39.7,Normal
TRX-000083,2025-01-22 00:59:00,CUST-1055,65.84,Groceries,0.0123,iOS,0.86,70.8,0,1,1,0,2,0,0.06908077994428961,3.71,Normal
TRX-000084,2025-03-17 05:13:00,CUST-1213,15.49,Online_Services,0.0123,iOS,0.63,126.61,0,0,0,5,0,0,0.8707781521824309,43.73,Suspicious
TRX-000085,2025-03-09 13:51:00,CUST-1186,2165.79,Luxury_Goods,0.0123,Android,0.09,150.22,1,0,1,13,6,1,13.328726358947229,70.03,High Risk
TRX-000086,2025-02-06 11:08:00,CUST-1787,57.44,Food_Dining,0.0123,iOS,0.22,140.37,0,0,0,11,3,0,0.5866166796350004,29.4,Normal
TRX-000087,2025-01-29 18:26:00,CUST-1308,502.6,Electronics,0.0123,Web_Browser,0.89,142.4,0,0,0,18,2,1,2.5118549511854953,70.27,High Risk
TRX-000088,2025-01-12 14:56:00,CUST-1491,426.51,Electronics,0.0123,iOS,0.71,116.09,1,0,0,14,6,0,2.6511230677256807,50.21,Suspicious
TRX-000089,2025-02-14 19:59:00,CUST-1283,645.45,Electronics,0.0123,Android,0.04,99.82,0,0,0,19,4,0,5.411922237651261,50.01,Suspicious
TRX-000090,2025-02-24 11:59:00,CUST-1578,663.63,Electronics,4.8088,Android,0.7,54.32,0,0,1,11,0,1,11.014280549530007,70.21,High Risk
TRX-000091,2025-01-15 01:43:00,CUST-1710,11.26,Groceries,0.0123,iOS,0.1,50.07,0,1,0,1,2,0,0.7599373409046407,38.03,Normal
TRX-000092,2025-02-09 07:48:00,CUST-1078,19.23,Transport,0.0123,Android,0.11,99.8,1,0,0,7,6,0,0.7993055555555555,40.0,Suspicious
TRX-000093,2025-02-02 14:44:00,CUST-1839,21.61,Food_Dining,0.0123,Android,0.63,109.03,1,0,0,14,6,0,0.7945105880214487,39.91,Normal
TRX-000094,2025-03-28 05:42:00,CUST-1582,12.06,Transport,0.0123,Android,0.36,64.1,0,0,0,5,4,0,0.7993855606758832,40.08,Suspicious
TRX-000095,2025-02-01 07:22:00,CUST-1290,56.1,Transport,4.8088,Web_Browser,0.0,102.29,1,0,0,7,5,1,0.44718753025462293,42.36,Suspicious
TRX-000096,2025-02-27 00:34:00,CUST-1301,411.21,Electronics,0.0123,iOS,0.89,63.96,0,1,1,0,3,1,5.345597290640393,70.27,High Risk
TRX-000097,2025-01-20 01:38:00,CUST-1047,44.91,Groceries,0.0123,Android,0.42,143.62,0,1,0,1,0,0,0.6825473655096115,34.25,Normal
TRX-000098,2025-03-26 05:28:00,CUST-1030,79.18,Groceries,0.0123,Android,0.24,111.85,0,0,0,5,2,0,0.28949933540097467,14.55,Normal
TRX-000099,2025-01-20 16:04:00,CUST-1235,16.23,Food_Dining,0.0123,iOS,0.81,95.08,0,0,0,16,0,0,0.820670274771024,41.28,Suspicious
TRX-000100,2025-03-03 14:38:00,CUST-1254,74.3,Groceries,0.0123,iOS,0.12,117.78,0,0,0,14,0,0,0.3660548913958579,18.34,Normal
TRX-000101,2025-03-23 13:43:00,CUST-1539,74.95,Groceries,0.0123,Web_Browser,0.77,81.27,1,0,0,13,6,0,0.07682022608484251,4.07,Normal
TRX-000102,2025-01-29 07:53:00,CUST-1386,25.17,Groceries,0.0123,Android,0.03,122.12,0,0,0,7,2,0,0.7874431448992852,39.38,Normal
TRX-000103,2025-03-03 22:19:00,CUST-1023,39.01,Groceries,0.0123,iOS,0.53,88.36,0,0,0,22,0,0,0.5522605192479857,27.77,Normal
TRX-000104,2025-01-22 13:48:00,CUST-1447,317.88,Electronics,0.0123,iOS,0.47,111.28,0,0,0,13,2,0,1.840042750267189,50.14,Suspicious
TRX-000105,2025-03-14 07:00:00,CUST-1126,34.1,Food_Dining,0.0123,iOS,0.64,106.49,0,0,0,7,4,0,0.6734579960926597,33.86,Normal
TRX-000106,2025-02-26 08:19:00,CUST-1181,8.78,Food_Dining,0.0123,Android,0.21,77.04,0,0,0,8,2,0,0.8746796514607893,43.8,Suspicious
TRX-000107,2025-02-15 05:02:00,CUST-1287,12.06,Transport,0.0123,iOS,0.48,68.84,1,0,0,5,5,0,0.8130011454753723,40.79,Suspicious
TRX-000108,2025-03-12 06:41:00,CUST-1696,8.61,Transport,0.0123,Android,0.4,111.22,0,0,0,6,2,0,0.914364640883978,45.84,Suspicious
TRX-000109,2025-01-05 01:04:00,CUST-1737,85.44,Groceries,0.0123,Android,0.13,88.62,1,1,0,1,6,0,0.035483151082347765,1.81,Normal
TRX-000110,2025-02-14 01:17:00,CUST-1193,30.4,Food_Dining,0.0123,Android,0.92,145.52,0,1,1,1,4,0,0.7856947856947857,39.56,Normal
TRX-000111,2025-03-12 01:15:00,CUST-1098,26.93,Food_Dining,0.0123,Android,0.59,106.0,0,1,0,1,2,0,0.7389719626168224,37.13,Normal
TRX-000112,2025-02-07 11:37:00,CUST-1559,49.58,Online_Services,4.8088,Android,0.62,106.34,0,0,0,11,4,0,0.5287870318613751,26.63,Normal
TRX-000113,2025-03-20 12:30:00,CUST-1358,90.63,Groceries,0.0123,iOS,0.77,61.96,0,0,0,12,3,0,0.4553684879288436,23.0,Normal
TRX-000114,2025-03-02 18:34:00,CUST-1245,48.69,Online_Services,0.0123,Android,0.46,111.91,1,0,0,18,6,0,0.5599149765299797,28.13,Normal
TRX-000115,2025-03-28 18:27:00,CUST-1507,16.04,Transport,0.0123,Android,0.64,47.42,0,0,0,18,4,0,0.6480793060718711,32.6,Normal
TRX-000116,2025-03-20 07:52:00,CUST-1025,9.04,Transport,0.0123,Web_Browser,0.62,128.04,0,0,0,7,3,0,0.9221946683199008,46.3,Suspicious
TRX-000117,2025-03-17 10:22:00,CUST-1436,38.98,Food_Dining,0.0123,Android,0.06,152.06,0,0,0,10,0,0,0.7387952436952829,36.96,Normal
TRX-000118,2025-02-24 11:15:00,CUST-1908,1949.83,Luxury_Goods,0.0123,Android,0.22,66.28,0,0,1,11,0,1,27.995689655172413,70.07,High Risk
TRX-000119,2025-01-08 03:03:00,CUST-1621,45.57,Groceries,0.0123,iOS,0.98,149.53,0,1,1,3,2,0,0.690626453198698,34.83,Normal
TRX-000120,2025-01-04 22:21:00,CUST-1459,63.85,Food_Dining,0.0123,iOS,0.3,120.63,1,0,0,22,5,0,0.46682561867960204,23.43,Normal
TRX-000121,2025-01-13 15:08:00,CUST-1824,23.54,Food_Dining,0.0123,iOS,0.54,57.59,0,0,0,15,0,0,0.5811571940604199,29.22,Normal
TRX-000122,2025-03-18 18:46:00,CUST-1128,26.25,Transport,0.0123,iOS,0.43,90.84,0,0,0,18,1,0,0.7032883275261325,35.29,Normal
TRX-000123,2025-01-07 13:37:00,CUST-1642,2703.64,Luxury_Goods,0.0123,iOS,0.05,118.23,0,0,1,13,1,1,21.684223769185607,70.02,High Risk
TRX-000124,2025-03-13 22:31:00,CUST-1838,315.48,Electronics,0.0123,Android,0.51,49.42,0,0,0,22,3,0,5.27687425624752,50.15,Suspicious
TRX-000125,2025-03-03 01:30:00,CUST-1982,19.56,Transport,0.0123,Android,0.55,92.79,0,1,0,1,0,0,0.7807868642712442,39.2,Normal
TRX-000126,2025-01-02 04:14:00,CUST-1147,28.93,Groceries,0.0123,iOS,0.01,108.54,0,1,0,4,3,0,0.7267664779989046,36.34,Normal
TRX-000127,2025-01-16 15:11:00,CUST-1828,44.79,Online_Services,0.0123,Android,0.11,82.3,0,0,0,15,3,0,0.4503001200480192,22.55,Normal
TRX-000128,2025-03-25 01:37:00,CUST-1756,26.5,Food_Dining,0.0123,iOS,0.34,108.72,0,1,0,1,1,0,0.7493620123951877,37.57,Normal
TRX-000129,2025-03-30 16:55:00,CUST-1580,56.94,Online_Services,0.0123,Android,0.47,143.56,1,0,0,16,6,0,0.5991975650249032,30.1,Normal
TRX-000130,2025-02-16 10:21:00,CUST-1871,22.77,Transport,0.0123,Android,0.44,100.06,1,0,0,10,6,0,0.7647931921630715,38.37,Normal
TRX-000131,2025-01-07 18:16:00,CUST-1719,119.08,Food_Dining,0.0123,Android,0.65,103.16,0,0,0,18,1,0,0.15284178187403996,7.84,Normal
TRX-000132,2025-03-03 23:51:00,CUST-1742,36.96,Food_Dining,0.0123,Web_Browser,0.84,124.08,0,0,0,23,0,0,0.696514230892229,35.08,Normal
TRX-000133,2025-03-13 05:44:00,CUST-1678,37.11,Groceries,0.0123,Android,0.44,108.94,0,0,0,5,3,0,0.6533563762052028,32.8,Normal
TRX-000134,2025-02-11 16:43:00,CUST-1166,373.84,Electronics,0.0123,Android,0.39,60.49,0,0,0,16,1,0,5.095950561066839,50.12,Suspicious
TRX-000135,2025-02-04 03:10:00,CUST-1107,12.86,Transport,0.0123,Android,0.48,71.7,0,1,0,3,1,0,0.809353507565337,40.61,Suspicious
TRX-000136,2025-03-28 06:49:00,CUST-1968,59.07,Online_Services,0.0123,Android,0.61,139.71,0,0,0,6,4,0,0.5730935967592923,28.84,Normal
TRX-000137,2025-02-24 06:41:00,CUST-1554,8.71,Transport,0.0123,Android,0.56,94.51,0,0,0,6,0,0,0.8983352528531044,45.08,Suspicious
TRX-000138,2025-02-24 10:11:00,CUST-1189,45.28,Groceries,0.0123,Android,0.36,31.97,0,0,0,10,0,0,0.40370033363663943,20.29,Normal
TRX-000139,2025-01-06 00:43:00,CUST-1476,14.22,Transport,0.0123,iOS,0.2,91.18,0,1,0,0,0,0,0.8348882620958994,41.8,Suspicious
TRX-000140,2025-02-13 12:49:00,CUST-1132,787.96,Electronics,0.0123,Web_Browser,0.86,89.73,0,0,1,12,3,0,7.695690510305301,50.26,Suspicious
TRX-000141,2025-03-12 03:28:00,CUST-1466,13.37,Transport,0.0123,Web_Browser,0.91,121.28,0,1,1,3,2,1,0.8824828263002944,64.4,Suspicious
TRX-000142,2025-03-26 02:01:00,CUST-1208,26.94,Food_Dining,0.0123,iOS,0.58,133.23,0,1,0,2,2,0,0.7918498100275646,39.77,Normal
TRX-000143,2025-01-25 04:28:00,CUST-1411,14.24,Food_Dining,0.0123,Android,0.21,90.13,1,1,0,4,5,0,0.8327663777021838,41.7,Suspicious
TRX-000144,2025-02-21 18:10:00,CUST-1985,29.98,Groceries,0.0123,iOS,0.13,89.74,0,0,0,18,4,0,0.6585849680405553,32.97,Normal
TRX-000145,2025-02-25 23:57:00,CUST-1039,1002.09,Electronics,0.0123,iOS,0.54,98.54,0,0,0,23,1,0,9.077255374723729,50.16,Suspicious
TRX-000146,2025-03-15 09:23:00,CUST-1212,555.83,Electronics,0.0123,iOS,0.49,99.16,1,0,0,9,5,0,4.559404952076679,50.15,Suspicious
TRX-000147,2025-03-31 16:47:00,CUST-1919,23.29,Food_Dining,0.0123,Android,0.68,99.72,0,0,0,16,0,0,0.7588363780778397,38.15,Normal
TRX-000148,2025-03-18 23:33:00,CUST-1574,313.56,Electronics,0.0123,Android,0.21,92.81,0,0,0,23,1,0,2.3531606438545998,50.06,Suspicious
TRX-000149,2025-01-15 08:55:00,CUST-1983,17.75,Transport,0.0123,Android,0.58,153.18,0,0,0,8,2,0,0.8783888960954729,44.09,Suspicious
TRX-000150,2025-02-14 00:00:00,CUST-1484,7.98,Transport,0.0123,iOS,0.55,108.93,0,1,0,0,4,0,0.9183116528700082,46.08,Suspicious
TRX-000151,2025-01-13 00:38:00,CUST-1896,46.42,Groceries,0.0123,Android,0.53,20.78,0,1,0,0,0,0,1.17722681359045,50.16,Suspicious
TRX-000152,2025-01-24 08:42:00,CUST-1649,40.48,Food_Dining,0.0123,Web_Browser,0.88,119.89,0,0,0,8,4,0,0.6568781536934403,33.11,Normal
TRX-000153,2025-02-01 11:26:00,CUST-1719,88.0,Groceries,0.0123,Android,0.4,122.87,1,0,0,11,5,0,0.28150480342294343,14.2,Normal
TRX-000154,2025-02-25 04:09:00,CUST-1028,385.57,Electronics,0.0123,Android,0.73,26.02,0,1,1,4,1,1,13.30680977054034,70.22,High Risk
TRX-000155,2025-03-29 13:13:00,CUST-1129,54.64,Food_Dining,0.0123,iOS,0.1,84.26,1,0,0,13,5,0,0.3474079286887169,17.4,Normal
TRX-000156,2025-01-10 05:37:00,CUST-1211,17.83,Transport,4.8088,iOS,0.23,135.87,0,0,0,5,4,0,0.8624241981442244,43.19,Suspicious
TRX-000157,2025-03-03 11:41:00,CUST-1723,39.76,Groceries,0.0123,iOS,0.26,102.16,0,0,0,11,0,0,0.6048856145792944,30.32,Normal
TRX-000158,2025-01-13 07:32:00,CUST-1071,99.68,Groceries,0.0123,Android,0.57,73.42,0,0,0,7,0,0,0.35286213383499065,17.81,Normal
TRX-000159,2025-01-04 10:57:00,CUST-1308,42.74,Online_Services,0.0123,Web_Browser,0.66,74.32,1,0,0,10,5,1,0.41927774827403075,41.16,Suspicious
TRX-000160,2025-03-12 01:16:00,CUST-1697,124.4,Groceries,0.0123,Android,0.81,70.85,0,1,1,1,2,0,0.7453027139874742,37.51,Normal
TRX-000161,2025-02-25 19:48:00,CUST-1840,52.19,Groceries,0.0123,iOS,0.61,120.08,0,0,0,19,1,0,0.5607036669970268,28.22,Normal
TRX-000162,2025-02-03 12:12:00,CUST-1347,50.66,Groceries,0.0123,Android,0.9,110.86,0,0,0,12,0,0,0.5381727158948686,27.18,Normal
TRX-000163,2025-02-28 23:20:00,CUST-1964,17.66,Food_Dining,0.0123,Android,0.84,69.93,0,0,0,23,4,0,0.7369237276187791,37.1,Normal
TRX-000164,2025-01-14 07:28:00,CUST-1226,26.43,Transport,0.0123,Android,0.84,126.9,0,0,0,7,1,0,0.7855355746677091,39.53,Normal
TRX-000165,2025-01-15 13:57:00,CUST-1081,62.85,Groceries,0.0123,Android,0.85,54.25,0,0,0,13,2,0,0.1556561085972851,8.04,Normal
